class,embedding
Elizabeth,"[ 1.50191450e+00  1.76958477e+00  1.13903189e+00 -5.65746307e-01
 -1.39113641e+00  1.39971697e+00  1.53719938e+00 -7.24745154e-01
 -1.08469635e-01  5.39423704e-01  4.89203870e-01  1.57875448e-01
 -2.19589281e+00  7.22076774e-01 -4.75716978e-01 -9.18085456e-01
 -1.97193050e+00 -4.49912548e-02 -1.33165061e+00  6.24690592e-01
  1.04030216e+00 -2.26299953e+00  2.11934233e+00 -3.77192527e-01
  1.12252247e+00 -1.02224231e+00 -1.10455103e-01 -9.98371959e-01
  1.01304793e+00 -3.18665266e-01 -6.75719023e-01  1.49660361e+00
 -1.73412800e-01  8.64743292e-01 -1.21426523e+00 -1.50815594e+00
 -5.03855050e-02 -1.48079884e+00 -4.16103959e-01  1.07589692e-01
 -2.42182940e-01 -3.79034430e-01 -9.12629128e-01  1.66151583e+00
 -1.15326059e+00 -3.54990214e-01 -6.09369516e-01  4.43135500e-01
 -8.15769851e-01 -1.04747891e-01  3.73796999e-01  1.91850498e-01
  3.32172990e-01  4.00831074e-01  3.22171032e-01  1.11803794e+00
 -2.36859635e-01  1.22083199e+00 -7.54421353e-01  6.34303510e-01
 -1.87766671e-01 -1.83987468e-02 -5.98975480e-01  1.28239483e-01
  5.10758817e-01  8.64727616e-01 -7.98159361e-01  8.91304076e-01
  1.45795941e+00 -1.57235146e+00 -2.13029552e+00 -3.24441731e-01
  2.12070847e+00  5.69021702e-01  8.57171565e-02  5.32761991e-01
 -4.86065388e-01 -9.88137007e-01 -6.42436594e-02 -6.19461834e-01
  8.81277859e-01  3.79898459e-01 -3.38899672e-01 -4.98729140e-01
  2.82349408e-01 -9.86586750e-01 -3.33207250e-01 -1.12429535e+00
  1.73102474e+00  1.83427083e+00 -1.12575912e+00  1.38353109e-01
 -9.83351320e-02 -7.58260012e-01 -6.68801367e-04  2.61359501e+00
 -1.11634707e+00 -1.86655271e+00 -8.89711022e-01 -1.55251074e+00
 -1.63268530e+00 -4.31853890e-01 -1.51121116e+00 -2.85510778e-01
  3.86824071e-01 -2.02348042e+00  6.27729297e-01  2.45168209e-01
  1.49793470e+00 -1.14718938e+00 -1.45359457e-01  1.11066854e+00
  4.63498205e-01 -1.47693801e+00  3.92776370e-01  2.18603611e+00
 -2.18794867e-01  1.37194246e-01  1.02133846e+00  4.50581640e-01
  1.96066752e-01 -1.78307366e+00  3.44961464e-01  8.95318806e-01
 -2.44995192e-01  1.06411658e-01  3.03483278e-01  7.85524011e-01]"
Elizabeth,"[-0.15998247  1.2927796   1.5245489  -1.5063224  -2.6208742   0.27252015
  1.8768823  -0.6637592  -0.40946025 -1.4520149   1.9791769   0.12145418
 -1.5131809   0.13121715 -0.3515525   0.4721759  -1.503376    0.76962364
 -1.9395542   1.6701504   0.6632073  -1.561232    1.0826588  -0.1337856
  0.25041637 -2.0047734   0.01750704 -0.90688825  0.35778922  0.16914336
  0.13953517  1.1123179   0.45733374  1.1392087  -2.170744   -1.4905472
  0.16276103 -1.3037105  -0.16210485 -0.65776944 -0.97789663 -1.5336984
 -1.3275849   0.25035474  0.13192073 -0.8491001  -0.5649115   0.3341737
 -1.3118507   0.4208747   0.71270835 -0.55724454  0.09559855  0.9429091
 -1.0131599   1.7118767  -1.6081649   1.0982764  -0.9215549   0.41220132
  0.16681471  1.6848446  -1.1457188   1.1305203   1.2923294   0.44883424
 -0.05954943 -0.16123134  0.184158   -1.2028725  -1.6036845  -0.8602737
  2.9021065  -0.07517788  0.03758019 -0.13388538 -0.9295896  -1.3805175
 -0.29011685 -0.85587275  0.42705706  0.20976499 -1.8134487   0.2732768
  1.7590386  -0.39627564  0.71027154 -0.86581016  0.44354555  1.025301
 -0.3734746   0.18637311  0.3090023  -1.004413   -0.45446932  2.0199444
  0.02887508 -1.446025    0.05722632 -1.4987562  -1.4086169   0.40008488
  1.0137419   0.08128393  0.7132127  -0.9641274   0.5054917   0.9392488
  0.7270059  -1.1171174   0.09543268  0.33867967  0.9225719  -1.6865369
 -0.38865685  2.0974786   0.54511034  1.3789928  -1.40438     0.5831933
 -0.2979514  -0.42302835  1.221362    1.2370553  -0.43734264 -0.02178641
 -1.6961097   0.7163766 ]"
Elizabeth,"[-7.57408261e-01  4.16891247e-01  1.58774400e+00 -1.51601881e-01
 -1.94430101e+00  4.68034297e-01  2.47128916e+00 -2.12681675e+00
 -4.98579741e-01 -8.26855302e-01  7.36688375e-01 -1.71006732e-02
 -2.51889586e-01 -1.77017897e-01 -3.45701456e-01  4.38244700e-01
 -2.38652539e+00 -5.47464252e-01 -1.83198059e+00  1.80849218e+00
  6.28436089e-01 -1.11612880e+00  1.43218601e+00 -5.94843209e-01
  6.03825413e-02 -1.52661359e+00  2.33555317e-01 -1.28769112e+00
  4.63370979e-01  6.38738930e-01  6.44492269e-01 -5.92052460e-01
  9.02192295e-01  1.61539829e+00 -7.63868988e-01 -1.02764428e+00
 -1.08348876e-01 -1.56989908e+00  6.39500439e-01 -6.86527729e-01
  6.74520433e-02 -4.32879984e-01 -2.53587461e+00 -1.60100907e-01
  1.57183170e-01 -1.91451907e+00 -5.48086941e-01  1.55529666e+00
 -1.20629501e+00  1.48068696e-01  3.07706416e-01  5.16005814e-01
  1.02222919e-01  2.38120556e-01 -1.05696249e+00  1.06268966e+00
  9.98355329e-01  1.52021050e+00 -8.59367251e-01 -1.83547989e-01
  8.27193141e-01 -2.42535427e-01 -1.11089575e+00 -4.47624065e-02
 -5.60314730e-02  1.02882099e+00  1.39608598e+00 -9.69643891e-01
 -4.82511997e-01 -5.37490249e-01 -5.06615877e-01 -1.93966818e+00
  2.35262370e+00  1.88992187e-01  1.14481881e-01 -2.65618116e-01
 -4.75922137e-01 -3.86050433e-01 -4.03535627e-02 -6.77709699e-01
  2.25069880e-01  5.00020981e-01  2.09415704e-03  7.70091414e-01
  1.25525951e+00  3.83690536e-01  1.27408850e+00 -1.01560980e-01
  9.03536558e-01  1.74537456e+00 -1.58122873e+00  2.30312422e-01
  6.91740215e-01  4.97729391e-01 -4.79812920e-01  2.43417215e+00
 -7.60992706e-01 -1.57915294e+00 -7.44057953e-01 -7.67779708e-01
 -1.20021021e+00 -2.08539277e-01 -5.35268486e-01  7.20897377e-01
  1.39259851e+00 -3.83343339e-01  3.79482776e-01  1.60999775e+00
  1.22034645e+00 -5.83677113e-01 -4.45870101e-01  8.77471268e-01
  1.18627810e+00 -1.33459258e+00 -1.02840118e-01  1.63925278e+00
  6.07767329e-02 -3.85871708e-01 -1.38128126e+00 -8.00096095e-01
  9.03870702e-01 -1.36497653e+00 -1.80650115e-01  6.00714982e-02
  5.45911729e-01  3.29027176e-01 -9.53717053e-01 -1.60161898e-01]"
Elizabeth,"[-0.80035436  0.5334852   1.6532136  -0.80658376 -1.5498589   0.18825608
  1.5985895  -0.65900165 -0.14296198 -1.6283197   0.4499814   0.33967948
  0.09278174  0.32606104  0.16146773 -0.37831008 -1.9750326  -0.46467948
 -2.7073686   0.67065126  0.862975   -1.791319    0.21905914  0.36380547
 -0.24571021 -0.97017485  0.31141904 -0.9514384   0.45509517  0.08038918
 -0.5351528   0.75312483  0.07155992  0.79177356 -0.02988114 -1.4865023
 -0.51573753 -2.3178663   0.03021538  0.67511404 -0.26424444 -0.41491842
 -0.87550545  1.3828725  -1.0012115  -1.3862612   0.08304     0.6477648
 -0.3490098  -0.95368445  1.0674387  -0.7393472   0.3339892  -0.18666282
 -0.11377676  0.9624894   1.1446133   0.79064345 -1.073911    1.1530532
 -0.55874395  0.26362753 -1.5370594   0.44917297  0.7593175   0.163768
  0.02824712 -0.21812882  0.7182923  -1.1253017  -1.0234954   0.44501892
  1.1966175   0.16603027  0.22165017 -0.38788578 -0.07699376 -0.28467265
 -0.58837783 -0.9039158   0.06335397 -0.4001789  -0.4598802  -0.36828116
  0.9527802  -0.8575756   0.8350785  -1.2187986   0.20503086  0.91801876
 -0.4451035  -0.01631536 -1.0200857  -1.1754006  -0.4834113   3.2541902
 -0.11107004 -1.7661614   0.43113077 -1.4671001  -0.87888646 -0.64842135
 -0.6219195   0.85735935  0.83511657 -1.5928744   0.37179995 -0.62522984
  1.5366052  -0.9008592   0.6212328  -0.4351492   0.9720707  -1.19987
 -0.15643457  1.6397275   1.268457    1.5260993   0.00488816  0.1980501
  0.7417995  -1.5837239   0.625127    0.09598623 -0.8531918   0.3209546
 -1.4875188  -0.19788319]"
Elizabeth,"[-0.41480896  0.17523962  1.9329711  -0.21938202 -1.6027452   0.7222955
  2.2487042  -0.17891105 -0.83750254  0.06050209  0.28132263 -0.538423
 -2.0779154   0.20421827 -0.31203195 -0.64718384 -1.8706383   0.32060707
 -2.393617    0.7015423   1.1316588  -2.6441905   1.9855437  -0.362813
  0.4370765  -0.6460078   0.33088815 -1.0918285   0.635045    0.36470786
 -0.6133305   1.1365521  -0.2523266   0.5166367  -0.7128431  -1.8068079
 -0.4984476  -1.5914102  -0.56083137 -0.49077168 -0.25643012 -0.5900913
 -1.4334977   1.1770362   0.54861313 -1.3538984   0.13388865  1.2550933
 -1.0445732   0.01498923  0.54120284 -0.09017575  0.81231254 -0.15550962
 -0.7143606   1.0689112   0.82456154  1.5178301  -0.27277997  0.20914567
 -0.1085068  -0.08455335 -0.73387945  0.8912266  -0.19204113  0.71674025
  0.02419497  0.00885344  1.0254989  -1.0463525  -1.9759551  -0.9786825
  2.242411    0.3917011   0.29818583 -0.47544917 -0.532875   -0.01884184
 -0.82829154 -0.4603986  -0.39449304 -0.38037768 -1.3434001  -0.80008984
  0.9490658  -0.32132313  0.9100108  -1.5438961   1.0579369   1.9128284
 -1.1671805   0.4532637  -0.6641191  -0.03217654 -0.5376692   2.3380628
 -0.29822284 -2.4791346  -0.60804796 -1.1962001  -1.7684888   0.05478092
 -0.15172029 -0.02293417  1.2078317  -1.5226846   0.08834018  0.23957546
  1.6622227   0.39839485 -0.2978405   0.9153635   0.707886   -0.66992253
 -0.38049802  2.2091575   0.07233573 -0.19812492 -1.2097971  -0.51991314
  0.5903465  -1.6829503  -0.4463567   0.7465699  -1.135873   -0.04850841
 -0.5313195  -0.16527225]"
Elizabeth,"[ 0.83370674  0.8890213   1.2243149  -1.490188   -1.0470495   0.60338545
  1.9176955  -1.3712163  -0.20391    -0.03546426  0.50416446 -0.1952374
 -2.1938736   1.179863   -0.534116    0.00784093 -1.8438629  -0.2834611
 -0.47126025  0.21895728  0.91108716 -2.4799085   1.760182   -0.06772138
  0.8242042  -1.7331617  -0.04312386 -1.5072076   0.5881264   1.0962973
  0.05659502  1.0398933   0.7925767   0.9686972  -1.917911   -1.2675979
 -0.41868362 -0.804774   -0.6325042  -0.40820128 -0.39410198 -1.0242319
 -1.4227442   0.19158578 -0.5976261  -1.3759174  -2.1965976   1.8055185
 -1.2405384  -0.01482119  0.21830332  0.11428869  0.67490995  0.69540286
 -0.5971229   0.7840468  -0.06139419  1.0059967  -0.20364732  0.13764894
 -0.7366334   0.5009133  -0.241748    1.2611022   0.19079402  0.0799026
  0.3065289  -0.10020137  0.5775189  -0.15018885 -1.064032   -1.0365688
  2.207361    0.9257892  -1.1569875  -0.5866788  -0.22267865 -1.3403957
 -0.33711976 -1.6162887   0.96956354  0.66545117 -1.7597792  -0.5380848
  0.58037907 -0.8931958   0.06576188 -1.7248487   0.46961936  1.5429225
 -0.45714268  0.2739432   0.5453303  -0.1224841  -0.73440635  2.0161014
 -0.6331758  -0.9846362  -1.4707267  -1.0896574  -1.7253911  -0.8798189
  0.18965606 -0.27391902  0.3109552  -1.3967872  -0.26599678 -0.17021887
  0.80608004 -0.6178851  -0.7764991   0.7268401   0.7145821  -0.77454686
  0.18746063  0.8896599   0.5930816  -0.5154585  -0.9073348   1.2448677
  0.05309796 -0.89911246  0.4728861   0.51242596  0.17117366  0.8856034
  0.52778864  0.54581887]"
Elizabeth,"[-0.28285134  1.3639178   1.3591402  -0.6656274  -2.2726667   0.8916351
  1.979279   -1.6441975  -1.8001281   0.34590313  0.72120035  0.63377583
 -1.9645722   0.11897603  0.62121606  0.38975567 -1.597558   -0.09980518
 -1.6547456   0.6596859   0.00379837 -1.4295614   0.97723407 -0.24960965
  0.45297274 -1.4583062   0.2846003  -0.78133756  0.7705514   1.2426826
  0.16984953  0.443103   -0.74034333  1.0457106  -1.0374583  -2.1455035
  0.3695875  -1.1506083  -0.12409973 -0.4766073  -0.6076768  -1.1025406
 -1.6177049   1.3060213   0.8895075  -1.3645668   0.33350784  0.85311806
 -0.6518221   0.42157075 -0.40546036  0.21145928  1.1244862   0.6221164
 -1.3176571   1.0566149   0.65335774  1.7865505  -0.55593467  0.33559918
  0.04823136  0.4711215  -0.5600562   0.77692133  0.48439634  0.63055587
  0.73305196 -0.41047695 -0.1461976  -1.5054802  -1.2904466  -0.7242886
  2.2598631   1.0824504  -0.22233163 -0.16272241 -0.69140303 -0.56744677
 -0.13200969 -0.3131001  -0.10413824  0.2560962  -1.8182455   0.3063198
  0.886505   -0.52365667  0.39750445 -0.67293054  0.5678178   1.0703763
 -1.2310677  -0.16059089  0.6537587  -0.47977236  0.4406154   1.9591928
 -0.24338362 -1.2451748   0.20593148 -1.4405111  -1.2442579  -0.4715181
 -0.3398797   0.37148935  0.97459644 -0.9364364  -0.5982533   0.8992909
  1.6314213  -0.8289179  -0.69564384  0.7299873   1.4360967  -0.9813251
 -0.4694765   1.5545785   0.03263446  0.35388952 -1.2695203   1.2909405
  0.40035963 -1.3784962   0.16231263  0.5329319  -0.5789656   1.0834641
 -0.21726778 -0.5190465 ]"
Elizabeth,"[-0.62335944  1.8658646   1.0725993  -0.38284314 -2.2516637   1.7084516
  1.6649735  -0.6258556   0.12775666 -1.0150558   1.0148934  -0.05361393
 -2.5261433   0.4368185   0.41431525 -0.40575457 -0.8126991   0.7336077
 -1.9611137   0.45546338 -0.51287264 -1.3815581   1.0772737  -0.27543998
  0.79358697 -0.7940409  -0.15783317 -0.7768579   0.8829639   0.74406517
 -0.36398175  0.47284737 -0.43158796  0.5229629  -0.7348044  -1.5043896
 -0.45007172 -0.62006396 -0.9467717  -0.04113299 -0.6458527  -1.8164188
 -1.4586174   1.3243433   1.6003724  -1.1295702  -0.1779369   0.8817451
 -0.38524622  0.22715656  0.41172838 -0.19787154  0.9968435   0.59967697
 -1.7404776   1.7188569   0.8388938   0.7688133  -0.66142    -0.13265465
 -0.41487458  1.4837391  -0.6276574   1.274721    1.0076799   0.5388644
  0.35657883 -0.306487    0.18062147 -1.8749942  -1.3601981  -0.78593445
  2.5044835   0.2812459  -0.29260638 -0.64641297 -0.48018512 -1.2444725
 -0.8964192   0.01305922  0.36403495 -0.06570849 -2.2068322  -0.36343104
  1.1214654  -0.8613013   0.72075295 -0.6083123   0.53040814  1.073451
 -0.6307399  -0.08718483  0.36940402 -0.9897862  -0.8682012   2.1522033
  0.10529512 -0.99049115 -0.94624734 -1.1849989  -1.0645095  -0.48947778
  0.3014241   0.7455668   0.8424515  -0.48439223 -0.6601535  -0.11635654
  2.2645166  -0.40801397 -0.67266583  0.7460453   0.61197495 -0.26919857
 -0.57500213  0.93758214 -0.01534311  0.25252298 -0.11876682  0.82716835
  0.15364693 -0.80442977  0.599362    0.88211495 -0.3334509   0.737846
  0.17075795  0.36621594]"
Elizabeth,"[ 0.03951538  0.7068434   1.4419035  -0.727256   -1.6417458   0.5072162
  0.97197354 -2.0504467  -0.6406018   0.15059383  0.82878137  0.3808877
 -1.6175365  -0.38403568  0.32494113  0.08935899 -2.19925     0.03915253
 -0.99835885  1.8663538   1.452429   -2.47395     2.029573    0.16892183
 -0.2565473  -2.080264    0.09877124 -1.1908052   0.6932627   1.3307314
  0.7244766   0.36088178  0.6786839   1.4790906  -1.7767011  -0.937576
 -0.15396999 -1.9923642   0.04879727  0.24234132  0.12669347 -0.5986097
 -1.667968    0.2624498  -0.00502068 -0.8973628  -0.66293454  1.0049596
 -1.5808918  -0.17247236 -0.2213174   0.361247    0.36307475  0.8327395
 -0.86459553  1.1290681   0.41304883  1.5821253  -0.76718086  0.07262241
  1.0043342  -0.3248651   0.17325152  0.16650106 -0.35601795  0.56444436
  1.6156716  -0.40488186  0.14055178 -1.3125535  -1.3885204  -1.6190729
  2.592647    0.92905265 -0.07371831  0.05001538 -0.5713049  -0.9695921
 -0.8246447  -1.2274464   0.54302454  0.380262   -0.90173984  0.706624
  0.56670624 -0.43997663 -0.09637135 -0.22126405  0.996366    1.673404
 -1.5675929  -0.11263397  1.0412289   0.9401792  -0.45511192  1.7518743
 -1.1281484  -1.7585058  -0.9879497  -0.845641   -1.544411   -0.5719357
 -0.1967369   0.14787142  1.314679   -1.6672157  -0.53557754  1.6164734
  1.059283   -0.61992645 -0.3294977   0.9557486   0.9509436  -1.381329
  0.04305962  1.5707366  -0.26943696 -0.7151042  -1.0979275   0.41462722
 -0.15689841 -1.514767   -0.01462658 -0.32426262  0.32301563  0.37549883
 -0.3571063   0.22632499]"
Elizabeth,"[-0.6276878   0.8739873   0.6520812   0.25805148 -2.2509322   0.78768456
  0.9420109  -1.9529272  -0.98984694 -0.09318653  1.1191078   0.16854775
 -0.8410664   0.6310047   0.520236   -0.059405   -0.97213936  0.5040114
 -1.5515882   1.1504804  -0.35656795 -0.7271423   2.3409607  -0.4389362
  1.6252437  -1.4333498  -0.72390854 -0.6700626   1.9333248  -1.0482061
  0.4345673  -1.0944884   0.7831988   0.21099508 -0.31889176 -0.3563989
  0.45961124 -0.58183223  0.15986815 -0.7692112  -0.6253482  -0.38614386
 -1.1197048  -0.132995   -0.06619725 -0.9534892  -1.8421841   0.6785222
 -1.270553    0.38918433  0.21061277  0.27513257  0.2377043   1.0380234
 -0.8955844   1.5549531   0.30163065  1.9260983  -0.8617665  -1.4847664
  0.97727746 -0.31523782  0.20244677  0.757777   -0.21945438  0.79349923
  0.71429473 -0.4471697  -0.2834583  -1.7056865  -1.2803012  -0.7220571
  1.702242    0.1768061  -0.03774234 -0.3024676  -0.12517679 -0.6773894
  0.15186924 -0.10394584  0.7802395   1.2834047  -1.8815495   0.8584555
  0.39810798 -0.4964349  -0.14460815 -0.1947968  -0.09626804  0.58054453
 -0.34825718 -0.1866931   1.3328779   0.699773   -1.3278402   1.6203291
 -0.7298678  -0.6489926  -0.49674842 -1.9074411  -1.6992275   0.3223757
  0.7234837   0.69238615  1.0110335  -0.5327226  -0.06970152 -0.11391717
  1.3844266  -1.0713407  -0.49102953  2.003199    1.8405157  -0.84642845
  0.2575713   1.2348744   0.28049085 -0.32481867 -0.7649643   1.5440642
 -0.9681034  -1.2422296   1.5188693   0.09850413  0.44457918  1.524305
  0.7467247   0.6041232 ]"
